station_id,D_station,station_latitude,station_longitude,bikepath
529,W 42 St & 8 Ave,40.7575699,-73.99098506999999,8/9th ave
515,W 43 St & 10 Ave,40.76009437,-73.99461843,
524,W 43 St & 6 Ave,40.75527307,-73.98316936000001,
484,W 44 St & 5 Ave,40.75500254,-73.98014437000001,
493,W 45 St & 6 Ave,40.7568001,-73.98291153,
2021,W 45 St & 8 Ave,40.75929124,-73.98859650999999,8/9th ave
508,W 46 St & 11 Ave,40.76341379,-73.99667444000001,
495,W 47 St & 10 Ave,40.76269882,-73.99301222,
450,W 49 St & 8 Ave,40.76227205,-73.98788205,8/9th ave
510,W 51 St & 6 Ave,40.7606597,-73.98042047,
72,W 52 St & 11 Ave,40.76727216,-73.99392888,
520,W 52 St & 5 Ave,40.75992262,-73.97648516,
449,W 52 St & 9 Ave,40.76461837,-73.98789472999999,8/9th ave
480,W 53 St & 10 Ave,40.76669671,-73.99061728,
423,W 54 St & 9 Ave,40.76584941,-73.98690506,8/9th ave
513,W 56 St & 10 Ave,40.768254,-73.98863900000001,
352,W 56 St & 6 Ave,40.76340613,-73.97722478999999,
422,W 59 St & 10 Ave,40.770513,-73.988038,
3158,W 63 St & Broadway,40.77163851,-73.98261428000001,
3176,W 64 St & West End Ave,40.77452835,-73.98753759,
3159,W 67 St & Broadway,40.77492513,-73.98266566,
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,
3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,
3162,W 78 St & Broadway,40.78339981,-73.98093133,
3226,W 82 St & Central Park West,40.78275,-73.97136999999999,
3177,W 84 St & Broadway,40.7867947,-73.97711200000001,
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,
348,W Broadway & Spring St,40.72490985,-74.00154702,
3187,Warren St,40.7211236,-74.03805095,hudson river greenway
